pres,leg,plus70,61_70,51_60,41_50,31_40,22_30,18_21,men,women,center,deleg,circ
57.81,63.33,5,11.23,18.95,22.98,20.35,17.81,3.68,52.46,47.54,م إبتدائية سيدي عبد الله المعيو - مغيره انزال,مغيرة إنزال,Tunis1
65.36,71.06,7.19,9.85,20.76,22.56,19.96,16.63,3.06,49.73,50.27,م إبتدائية سيدي حسين 4 - مغيره انزال,مغيرة إنزال,Tunis1
63.71,71.37,2.42,7.26,20.57,26.21,20.57,20.16,2.82,53.23,46.77,م إبتدائية حي المنجي سليم المغيرة إنزال ,مغيرة إنزال,Tunis1
59.44,62.09,5.15,7.65,21.94,24.85,19.09,17.74,3.59,48.27,51.73,م إبتدائية عمر المختار - 25جويلية,25جويلية,Tunis1
73.87,76.29,6.5,9.4,18.52,20.93,22.18,17.7,4.77,49.95,50.05,م إبتدائية التحرير 1 - التحرير الأول,التحرير الأول,Tunis2
75.53,76.9,7.05,10.94,19.53,21.79,19.89,17.87,2.92,47.5,52.5,م إبتدائية حي التحرير 2 - التحرير الأول,التحرير الأول,Tunis2
77.84,81.3,7.91,8.96,19.86,25.94,17.19,15.88,4.25,45.73,54.27,م إبتدائية حي التحرير 3 - التحرير الثالث,التحرير الثالث,Tunis2
73.47,73.87,6.42,15.07,14.74,16.63,23.84,20.71,2.59,50.06,49.94,م إبتدائية التحرير العلوي,التحرير العلوي,Tunis2
80.22,83.18,7.75,11.6,20.95,20.02,17.36,17.05,5.27,49.12,50.88,م إبتدائية 16نهج بشارة الخوري - العمران,العمران,Tunis2
76.55,78.76,8.5,10.94,19.78,22.15,16.41,17.21,5.01,48.88,51.12,م إبتدائية نهج بولونيا - العمران,العمران,Tunis2
65.04,68.94,6.99,10.04,23.2,24.22,17.8,14.06,3.7,50.75,49.25,م إبتدائية بئر الكرم جبل الأحمر - حي الزياتين,حي الزياتين,Tunis2
62.22,68.07,10.41,11.33,21.96,23.02,17.25,12.61,3.43,45.96,54.04,م إبتدائية جبل الأحمر حي الزياتين 1 - حي الزياتين,حي الزياتين,Tunis2
64.45,64.57,6.29,7.98,20.68,25.88,19.11,16.69,3.39,44.62,55.38,م إبتدائية حي الزياتين 2 - حي الزياتين,حي الزياتين,Tunis2
72.74,76.22,7.42,10.04,19.37,21.93,21.58,16.42,3.25,47.91,52.09,م إبتدائية رأس الطابية نهج فاس,رأس الطابية,Tunis2
78.59,81.87,8.56,14.92,15.47,14.99,21.42,20.19,4.45,49.73,50.27,م إبتدائية حي الرمانة - رأس الطابية,رأس الطابية,Tunis2
65.97,70.27,11.27,12.44,22.13,22.3,15.99,13.32,2.55,48.52,51.48,م إبتدائية بئر عتيق جبل الأحمر ,بئر عتيق,Tunis2
68.69,70.08,12.01,10.78,23.63,22.86,14.55,12.32,3.85,45.08,54.92,م إبتدائية الفوز العمران - وادي السبعي,وادي السبعي,Tunis2
70.94,72.57,9.51,12.83,21.95,23.11,16.46,12.91,3.25,45.05,54.95,م إبتدائية 2مارس 34 العمران - وادي السبعي,وادي السبعي,Tunis2
74.12,77.52,12.93,13.82,17.02,21.47,18.37,13.13,3.27,50.66,49.34,م إبتدائية حي ابن خلدون 2 - الرمانة, الرمانة,Tunis2
69.42,72.81,10.85,11.59,15.37,22.86,22.37,14.07,2.9,46.6,53.4,م إبتدائية حي ابن خلدون 3 - الرمانة, الرمانة,Tunis2
69.3,72.06,8.37,11.88,15.41,20.35,22.83,17.42,3.75,47.72,52.28,م إبتدائية ابن خلدون 6 - حي ابن خلدون السادس,حي ابن خلدون السادس,Tunis2
72.45,74.29,3.51,11.78,20.16,16.88,20.42,22.6,4.65,49.85,50.15,م إبتدائية حي الانطلاقة 3 - حي الإنطلاقة, حي الإنطلاقة,Tunis2
67.36,69.95,5.99,13.62,15.17,18.88,24.73,18.81,2.81,53.14,46.86,م إبتدائية حي الانطلاقة 1 - حي الإنطلاقة, حي الإنطلاقة,Tunis2
72.55,75.46,4.33,10.09,19,16.72,20.98,23.45,5.43,49.31,50.69,م إبتدائية الامام بن عرفة - العمران الأعلى,العمران الأعلى,Tunis2
65.57,68.77,3.54,8.79,18.37,16.11,22.72,25.57,4.9,49.89,50.11,م إبتدائية الشابي - العمران الاعلى ,العمران الأعلى,Tunis2
66.85,70.07,5.92,12.93,16.34,19.21,26.21,16.16,3.23,46.95,53.05,م إبتدائية الانطلاقة 2 - النسيم,النسيم,Tunis2
63.77,66.69,5.63,11.04,17.47,21.2,24.49,17.76,2.41,44.34,55.66,م إبتدائية ابن خلدون 5 - الصديق,الصديق,Tunis2
74.7,77.55,6.01,9.47,20.25,20.68,21.19,18.54,3.86,45.8,54.2,م إبتدائية نهج بوشوشة الكرم - الكرم الشرقي,الكرم الشرقي,Tunis2
81.86,85.41,7.8,11.86,21.35,20.3,18.21,15.99,4.5,50.23,49.77,م إبتدائية شارع بورقيبة الكرم - الكرم الشرقي,الكرم الشرقي,Tunis2
70.62,73.87,7.14,9.45,19.02,23.97,20.46,16.6,3.37,44.43,55.57,م إبتدائية نهج فرحات حشاد صلامبو - الرياض,الرياض,Tunis2
67.52,71.27,8.42,10.76,19.39,21.98,20.07,16.71,2.68,51.39,48.61,م إبتدائية 1نهج 5ديسمبر صلامبو - الرياض,الرياض,Tunis2
77.87,81.04,3.93,9.28,16.14,21.14,27.13,18.16,4.23,51.66,48.34,م إبتدائية شط البحيرة عين زغوان - البحيرة,البحيرة,Tunis2
71.65,76.13,3.73,8.56,17.38,21.92,25.39,19.06,3.95,49.84,50.16,م إبتدائية المنجي سليم عين زغوان - سيدي فرج,سيدي فرج,Tunis2
63.76,68.03,7.07,10.3,19.17,21.33,21.8,17.45,2.89,51.63,48.37,م إبتدائية سيدي عمر الكرم الغربي,الكرم الغربي,Tunis2
72.85,76.24,9.54,12.07,19.92,21.31,19.31,14.58,3.28,49.66,50.34,م إبتدائية نهج ليبيا صلامبو - بير الحلو,بئر الحلو,Tunis2
85.54,87.68,9.04,15.02,18.6,18,19.63,13.95,5.75,47.56,52.44,م إبتدائية نهج الورد المرسى - المرسى المدينة,المرسى المدينة,Tunis2
84.7,87.15,9.91,14.61,18.4,17.48,18.68,16.06,4.86,48.78,51.22,م إبتدائية شارع بورقيبة المرسى - المرسى المدينة,المرسى المدينة,Tunis2
81.8,84.51,7.67,12.26,19.3,18.28,19.64,19.13,3.72,49.16,50.84,م إبتدائية المرسى شارع الطيب المهيري - المرسى المدينة,المرسى المدينة,Tunis2
74.83,77.82,6,9.83,16.23,19.82,22.42,20.98,4.72,46.36,53.64,م.إعدادية الفاضل بن عاشور المرسى - المرسى المدينة,المرسى المدينة,Tunis2
70.53,73.07,5.37,7.8,15.01,19.93,23.35,22.18,6.36,46.82,53.18,م.إعدادية الطيب المهيري بالمرسى - المرسى المدينة,المرسى المدينة,Tunis2
73.12,75.5,5.13,11.18,17.77,20.13,24.05,19.1,2.65,49.78,50.22,م إبتدائية نهج محمد علي الطابق - الحدائق,المرسى الحدائق,Tunis2
